ccode,year,D1y,L1D1y,L2D1y,L3D1y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y
32,1951,0.0170978326350451,-0.0119594810530543,-0.0398149490356445,0.0315276086330414,,1,,,,0,1,0,-0.00245100003667176,-0.0176449995487928,-0.0127170002087951,0.0504069998860359,-0.0727593526244164,-0.0400173999369144,-0.018502464517951,0.0318164601922035,0.0409402623772621,0.073699563741684
32,1952,-0.0727593526244164,0.0170978326350451,-0.0119594810530543,-0.0398149490356445,,1,,,,1,0,1,0.0119040003046393,-0.00245100003667176,-0.0176449995487928,-0.0127170002087951,0.0327419526875019,0.0542568862438202,0.10457581281662,0.113699615001678,0.146458923816681,0.188942238688469
32,1953,0.0327419526875019,-0.0727593526244164,0.0170978326350451,-0.0119594810530543,,0,,,,1,1,0,-0.00899699982255697,0.0119040003046393,-0.00245100003667176,-0.0176449995487928,0.0215149354189634,0.0718338564038277,0.0809576585888863,0.113716959953308,0.156200274825096,0.072597362101078
32,1954,0.0215149354189634,0.0327419526875019,-0.0727593526244164,0.0170978326350451,,0,,,,0,1,1,0.0226670000702143,-0.00899699982255697,0.0119040003046393,-0.00245100003667176,0.0503189228475094,0.0594427287578583,0.0922020375728607,0.134685352444649,0.0510824397206306,0.109988354146481
32,1955,0.0503189228475094,0.0215149354189634,0.0327419526875019,-0.0727593526244164,,0,,,,0,0,1,0.0102439997717738,0.0226670000702143,-0.00899699982255697,0.0119040003046393,0.00912380404770374,0.041883111000061,0.0843664258718491,0.000763513147830963,0.0596694275736809,0.113947853446007
32,1956,0.00912380404770374,0.0503189228475094,0.0215149354189634,0.0327419526875019,,0,,,,0,0,0,-0.00638400018215179,0.0102439997717738,0.0226670000702143,-0.00899699982255697,0.0327593050897121,0.0752426162362099,-0.00836029648780823,0.0505456179380417,0.104824051260948,0.0963038355112076
32,1957,0.0327593050897121,0.00912380404770374,0.0503189228475094,0.0215149354189634,,1,,,,0,0,0,-0.0185180008411407,-0.00638400018215179,0.0102439997717738,0.0226670000702143,0.0424833111464977,-0.0411196015775204,0.0177863128483295,0.0720647424459457,0.0635445266962051,0.0104625560343266
32,1958,0.0424833111464977,0.0327593050897121,0.00912380404770374,0.0503189228475094,,0,,,,1,0,0,-0.0235130004584789,-0.0185180008411407,-0.00638400018215179,0.0102439997717738,-0.0836029127240181,-0.0246969982981682,0.029581431299448,0.0210612155497074,-0.0320207551121712,0.0692822188138962
32,1959,-0.0836029127240181,0.0424833111464977,0.0327593050897121,0.00912380404770374,,,,,,0,1,0,-0.100932002067566,-0.0235130004584789,-0.0185180008411407,-0.00638400018215179,0.0589059144258499,0.113184347748756,0.104664131999016,0.0515821613371372,0.152885138988495,0.258579462766647
32,1960,0.0589059144258499,-0.0836029127240181,0.0424833111464977,0.0327593050897121,,,,,,,0,1,0.000788000004831702,-0.100932002067566,-0.0235130004584789,-0.0185180008411407,0.0542784295976162,0.0457582138478756,-0.00732375681400299,0.0939792171120644,0.199673548340797,0.193076282739639
32,1961,0.0542784295976162,0.0589059144258499,-0.0836029127240181,0.0424833111464977,,,,,,,,0,0.016907000914216,0.000788000004831702,-0.100932002067566,-0.0235130004584789,-0.00852021481841803,-0.0616021864116192,0.0397007875144482,0.145395115017891,0.138797849416733,0.170717820525169
32,1962,-0.00852021481841803,0.0542784295976162,0.0589059144258499,-0.0836029127240181,,,,,,,,,-0.0227690003812313,0.016907000914216,0.000788000004831702,-0.100932002067566,-0.0530819706618786,0.0482210032641888,0.153915330767632,0.147318065166473,0.17923803627491,0.227463036775589
32,1963,-0.0530819706618786,-0.00852021481841803,0.0542784295976162,0.0589059144258499,,,,,,,,,-0.0156520009040833,-0.0227690003812313,0.016907000914216,0.000788000004831702,0.101302973926067,0.2069973051548,0.200400039553642,0.232320010662079,0.280545026063919,0.377340286970139
32,1964,0.101302973926067,-0.0530819706618786,-0.00852021481841803,0.0542784295976162,,,,,,,,,-0.00934999994933605,-0.0156520009040833,-0.0227690003812313,0.016907000914216,0.105694331228733,0.0990970730781555,0.131017044186592,0.179242044687271,0.276037305593491,0.306493729352951
32,1965,0.105694331228733,0.101302973926067,-0.0530819706618786,-0.00852021481841803,,,,,,,,,-0.0135319996625185,-0.00934999994933605,-0.0156520009040833,-0.0227690003812313,-0.00659726141020656,0.0253227055072784,0.0735477134585381,0.170342981815338,0.20079942047596,0.257380723953247
32,1966,-0.00659726141020656,0.105694331228733,0.101302973926067,-0.0530819706618786,,,,,,,,,0.0125940004363656,-0.0135319996625185,-0.00934999994933605,-0.0156520009040833,0.0319199673831463,0.0801449716091156,0.176940232515335,0.207396671175957,0.263977974653244,0.280262142419815
32,1967,0.0319199673831463,-0.00659726141020656,0.105694331228733,0.101302973926067,,0,,,,,,,0.00228399992920458,0.0125940004363656,-0.0135319996625185,-0.00934999994933605,0.0482250079512596,0.14502027630806,0.175476714968681,0.232058018445969,0.24834218621254,0.276459723711014
32,1968,0.0482250079512596,0.0319199673831463,-0.00659726141020656,0.105694331228733,,0,,,,0,,,0.0481210015714169,0.00228399992920458,0.0125940004363656,-0.0135319996625185,0.0967952609062195,0.127251699566841,0.183833003044128,0.200117170810699,0.228234708309174,0.283572763204575
32,1969,0.0967952609062195,0.0482250079512596,0.0319199673831463,-0.00659726141020656,,0,,,,0,0,,0.0218739993870258,0.0481210015714169,0.00228399992920458,0.0125940004363656,0.0304564330726862,0.0870377421379089,0.10332190990448,0.131439447402954,0.186777487397194,0.186493366956711
